comunadondeseimpartelacarreraopr,nombreregion,duraciónensemestres,puntaje,pnem,prank,ingreso2,valordearancel,ingreso,area,year
Santiago,Región Metropolitana,10,651,,,23,1.500.800,104,Art/Humanities,2007
Valparaíso,Región de Valparaíso,8,566,553,580,32,2.419.000,116,Art/Humanities,2016
Ñuñoa,Región Metropolitana,10,612,597,628,39,2.847.000,133,Art/Humanities,2017
Valparaíso,Región de Valparaíso,10,552,,,35,2.040.000,193,Art/Humanities,2008
Santiago,Región Metropolitana,10,531,,,61,2.163.540,284,Art/Humanities,2010
Las Condes,Región Metropolitana,9,559,519,,5,3.990.000,117,Art/Humanities,2016
Santiago,Región Metropolitana,11,573,,,66,3.110.695,511,Art/Humanities,2009
Providencia,Región Metropolitana,8,593,,,8,2.510.000,43,Art/Humanities,2006
Las Condes,Región Metropolitana,8,539,504,517,25,3.930.000,83,Art/Humanities,2019
Las Condes,Región Metropolitana,8,527,435,438,4,3.342.664,17,Art/Humanities,2015
Valparaíso,Región de Valparaíso,8,539,541,559,32,2.144.604,104,Art/Humanities,2013
Ñuñoa,Región Metropolitana,10,641,,,42,,148,Art/Humanities,2009
Santiago,Región Metropolitana,6,595,,,35,1.265.200,101,Art/Humanities,2006
Macul,Región Metropolitana,8,704,,,61,2.465.000,342,Art/Humanities,2009
Concepción,Región del Bío-Bío,12,612,,,71,2.410.100,438,Art/Humanities,2009
Punta Arenas,Región de Magallanes,10,550,,,12,2.959.000,116,Art/Humanities,2011
Providencia,Región Metropolitana,8,553,512,522,25,3.245.000,81,Art/Humanities,2017
Concepción,Región del Bío-Bío,12,624,,,76,2.257.900,332,Art/Humanities,2009
Santiago,Región Metropolitana,8,585,519,528,34,2.940.000,132,Art/Humanities,2013
Ñuñoa,Región Metropolitana,10,588,558,580,37,2.650.000,99,Art/Humanities,2015
Concepción,Región del Bío-Bío,9,566,,,49,2.208.000,265,Art/Humanities,2011
Macul,Región Metropolitana,8,683,695,720,51,5.338.000,188,Art/Humanities,2019
Coquimbo,Región de Coquimbo,10,543,,,4,1.926.000,21,Art/Humanities,2009
Iquique,Región de Tarapacá,10,560,579,603,18,2.134.650,153,Art/Humanities,2013
Santiago,Región Metropolitana,10,658,,,121,1.969.000,571,Art/Humanities,2006
Santiago,Región Metropolitana,5,492,,,20,795.000,135,Art/Humanities,2006
Providencia,Región Metropolitana,8,555,,,7,2.675.000,34,Art/Humanities,2007
Providencia,Región Metropolitana,8,530,524,548,22,2.030.000,22,Art/Humanities,2019
Santiago,Región Metropolitana,8,582,,,35,2.840.811,131,Art/Humanities,2009
Santiago,Región Metropolitana,10,713,645,670,26,3.273.900,138,Art/Humanities,2019
Providencia,Región Metropolitana,5,418,,,3,1.140.000,44,Art/Humanities,2010
Ñuñoa,Región Metropolitana,10,640,581,600,33,2.330.200,133,Art/Humanities,2014
Concepción,Región del Bío-Bío,10,574,552,565,63,2.588.000,277,Art/Humanities,2013
Valparaíso,Región de Valparaíso,10,650,658,693,69,3.810.000,321,Art/Humanities,2017
Santiago,Región Metropolitana,5,463,,,9,1.220.000,71,Art/Humanities,2010
Lo Barnechea,Región Metropolitana,11,594,572,579,91,5.436.000,664,Art/Humanities,2015
Viña del Mar,Región de Valparaíso,8,593,,,17,3.000.000,29,Art/Humanities,2008
Providencia,Región Metropolitana,8,595,,,33,3.505.000,214,Art/Humanities,2009
Santiago,Región Metropolitana,10,563,,,55,3.008.705,309,Art/Humanities,2009
Santiago,Región Metropolitana,4,486,,,16,1.552.500,28,Art/Humanities,2011
Antofagasta,Región de Antofagasta,12,581,,,88,1.940.000,463,Art/Humanities,2006
Valparaíso,Región de Valparaíso,9,668,,,26,2.300.000,131,Art/Humanities,2011
Providencia,Región Metropolitana,8,709,685,716,40,3.800.000,201,Art/Humanities,2017
Macul,Región Metropolitana,8,671,656,689,61,2.930.000,352,Art/Humanities,2014
Santiago,Región Metropolitana,4,552,,,60,1.650.000,129,Art/Humanities,2006
Las Condes,Región Metropolitana,12,547,,,45,3.523.590,387,Art/Humanities,2011
Talca,Región del Maule,10,619,,,25,1.898.000,66,Art/Humanities,2008
Providencia,Región Metropolitana,8,541,496,496,13,2.731.000,67,Art/Humanities,2016
Las Condes,Región Metropolitana,8,529,518,524,24,3.691.673,73,Art/Humanities,2017
Vitacura,Región Metropolitana,10,500,558,500,28,2.870.000,137,Art/Humanities,2013
Santiago,Región Metropolitana,4,492,,,29,2.170.000,196,Art/Humanities,2006
Providencia,Región Metropolitana,8,576,,,26,2.510.000,117,Art/Humanities,2006
Lo Barnechea,Región Metropolitana,10,586,569,574,96,5.058.000,640,Art/Humanities,2014
Providencia,Región Metropolitana,10,553,,,12,2.066.000,72,Art/Humanities,2014
Valparaíso,Región de Valparaíso,,606,605,623,52,3.490.000,59,Art/Humanities,2014
Santiago,Región Metropolitana,9,660,,,3,2.070.000,10,Art/Humanities,2009
Antofagasta,Región de Antofagasta,8,519,505,511,11,2.316.000,27,Art/Humanities,2016
Santiago,Región Metropolitana,9,670,,,20,1.400.000,93,Art/Humanities,2006
Iquique,Región de Tarapacá,9,541,581,595,22,1.613.551,63,Art/Humanities,2013
Las Condes,Región Metropolitana,12,533,522,533,111,4.890.000,492,Art/Humanities,2019
Las Condes,Región Metropolitana,8,619,,,3,3.647.444,58,Art/Humanities,2011
Providencia,Región Metropolitana,8,619,,,29,3.300.000,108,Art/Humanities,2011
Ñuñoa,Región Metropolitana,8,676,634,665,104,2.632.300,398,Art/Humanities,2017
Macul,Región Metropolitana,10,651,,,51,2.240.000,260,Art/Humanities,2008
Valparaíso,Región de Valparaíso,10,636,618,646,71,2.020.000,351,Art/Humanities,2013
Santiago,Región Metropolitana,8,572,491,492,15,2.963.000,65,Art/Humanities,2015
Valparaíso,Región de Valparaíso,10,544,,,30,2.318.000,177,Art/Humanities,2009
Las Condes,Región Metropolitana,8,576,,,19,2.831.535,60,Art/Humanities,2011
Valparaíso,Región de Valparaíso,11,653,,,67,3.272.000,338,Art/Humanities,2012
Providencia,Región Metropolitana,8,706,681,717,38,3.872.000,291,Art/Humanities,2018
Las Condes,Región Metropolitana,8,546,517,528,8,4.711.000,61,Art/Humanities,2018
Macul,Región Metropolitana,8,693,,,62,2.680.000,348,Art/Humanities,2011
Temuco,Región de La Araucanía,8,546,534,551,32,2.358.000,108,Art/Humanities,2017
Antofagasta,Región de Antofagasta,10,543,,,41,1.850.000,168,Art/Humanities,2007
Las Condes,Región Metropolitana,2,592,502,502,2,4.517.109,3,Art/Humanities,2016
Talca,Región del Maule,10,686,599,631,24,2.860.800,131,Art/Humanities,2017
Talca,Región del Maule,12,603,,,77,2.254.000,472,Art/Humanities,2007
Providencia,Región Metropolitana,9,589,586,613,22,3.110.000,82,Art/Humanities,2014
Providencia,Región Metropolitana,9,687,,,101,2.780.000,384,Art/Humanities,2006
La Serena,Región de Coquimbo,10,548,551,571,50,2.490.000,168,Art/Humanities,2017
Valparaíso,Región de Valparaíso,10,563,564,576,62,2.788.000,372,Art/Humanities,2014
Las Condes,Región Metropolitana,12,540,,,40,3.662.772,350,Art/Humanities,2012
Valdivia,Región de los Ríos,8,473,,,13,885.000,58,Art/Humanities,2006
Puerto Montt,Región de Los Lagos,12,530,,,21,2.005.000,40,Art/Humanities,2011
Valparaíso,Región de Valparaíso,10,656,,,60,1.665.000,341,Art/Humanities,2009
Santiago,Región Metropolitana,8,528,,,27,2.270.000,196,Art/Humanities,2008
Temuco,Región de La Araucanía,8,546,544,557,24,2.139.000,90,Art/Humanities,2015
Puerto Montt,Región de Los Lagos,10,538,518,541,30,3.794.000,71,Art/Humanities,2019
Valparaíso,Región de Valparaíso,10,594,,,42,1.520.000,176,Art/Humanities,2008
Concepción,Región del Bío-Bío,8,516,477,484,44,2.300.000,184,Art/Humanities,2015
Providencia,Región Metropolitana,8,546,482,489,23,2.400.000,76,Art/Humanities,2019
Providencia,Región Metropolitana,8,540,,,28,1.910.000,59,Art/Humanities,2010
Santiago,Región Metropolitana,9,552,,,27,1.900.000,72,Art/Humanities,2007
Santiago,Región Metropolitana,8,593,,,40,2.769.000,145,Art/Humanities,2012
Providencia,Región Metropolitana,10,571,,,23,3.505.000,135,Art/Humanities,2009
Ñuñoa,Región Metropolitana,10,658,,,75,1.500.800,479,Art/Humanities,2007
Providencia,Región Metropolitana,10,554,,,19,1.680.000,54,Art/Humanities,2008
Temuco,Región de La Araucanía,12,539,,,35,2.436.000,169,Art/Humanities,2012
Ñuñoa,Región Metropolitana,10,631,,,37,2.093.700,166,Art/Humanities,2012
Valparaíso,Región de Valparaíso,10,630,626,652,30,2.910.000,162,Art/Humanities,2013
Santiago,Región Metropolitana,12,584,,,78,2.163.540,457,Art/Humanities,2010
Providencia,Región Metropolitana,12,521,,,20,2.132.000,79,Art/Humanities,2012
Providencia,Región Metropolitana,8,524,,,91,1.780.000,228,Art/Humanities,2012
La Serena,Región de Coquimbo,10,582,,,78,2.207.000,510,Art/Humanities,2011
Santiago,Región Metropolitana,10,654,,,37,2.463.130,213,Art/Humanities,2011
Macul,Región Metropolitana,10,646,,,60,1.945.000,271,Art/Humanities,2006
Las Condes,Región Metropolitana,9,549,535,546,34,4.790.000,139,Art/Humanities,2019
Santiago,Región Metropolitana,4,565,,,4,2.300.000,16,Art/Humanities,2009
Iquique,Región de Tarapacá,10,579,602,624,25,1.912.000,60,Art/Humanities,2019
Concepción,Región del Bío-Bío,10,590,,,14,2.795.000,133,Art/Humanities,2012
Concepción,Región del Bío-Bío,11,592,,,34,3.692.000,178,Art/Humanities,2012
Santiago,Región Metropolitana,8,509,,,25,2.012.500,99,Art/Humanities,2012
Valparaíso,Región de Valparaíso,11,660,679,715,72,4.146.281,380,Art/Humanities,2018
Providencia,Región Metropolitana,10,570,,,30,2.400.000,201,Art/Humanities,2011
Macul,Región Metropolitana,6,642,624,653,23,3.800.000,123,Art/Humanities,2017
Santiago,Región Metropolitana,8,505,,,25,3.450.000,97,Art/Humanities,2012
Arica,Región de Arica y Parinacota,8,557,,,58,1.736.000,281,Art/Humanities,2009
Viña del Mar,Región de Valparaíso,12,523,,,35,3.638.846,213,Art/Humanities,2018
Concepción,Región del Bío-Bío,12,509,,,9,2.400.000,118,Art/Humanities,2009
Santiago,Región Metropolitana,10,641,,,58,2.201.000,319,Art/Humanities,2010
Antofagasta,Región de Antofagasta,12,561,,,74,2.754.000,400,Art/Humanities,2012
Las Condes,Región Metropolitana,8,655,642,676,7,3.552.799,59,Art/Humanities,2017
Viña del Mar,Región de Valparaíso,9,538,,,16,2.988.266,82,Art/Humanities,2012
Las Condes,Región Metropolitana,9,545,,,23,3.600.321,182,Art/Humanities,2012
Providencia,Región Metropolitana,8,573,529,537,14,2.719.200,46,Art/Humanities,2013
Santiago,Región Metropolitana,8,588,556,566,42,3.917.920,177,Art/Humanities,2015
Concepción,Región del Bío-Bío,8,592,,,42,1.500.000,48,Art/Humanities,2007
Copiapó,Región de Atacama,10,520,605,,25,2.233.000,83,Art/Humanities,2018
Las Condes,Región Metropolitana,8,679,,,7,3.560.290,73,Art/Humanities,2010
Viña del Mar,Región de Valparaíso,9,486,,,30,2.814.461,65,Art/Humanities,2017
Providencia,Región Metropolitana,8,642,535,553,49,3.148.800,139,Art/Humanities,2014
Providencia,Región Metropolitana,9,728,,,101,3.825.000,694,Art/Humanities,2011
Santiago,Región Metropolitana,10,684,,,5,1.400.000,67,Art/Humanities,2006
Antofagasta,Región de Antofagasta,5,464,,,5,,26,Art/Humanities,2010
Santiago,Región Metropolitana,8,474,,,10,1.105.000,51,Art/Humanities,2006
Santiago,Región Metropolitana,10,515,482,497,29,3.273.300,229,Art/Humanities,2019
Macul,Región Metropolitana,8,692,708,752,36,3.640.000,160,Art/Humanities,2019
Ñuñoa,Región Metropolitana,8,649,592,616,76,2.333.700,234,Art/Humanities,2014
Santiago,Región Metropolitana,8,592,525,533,41,3.227.000,134,Art/Humanities,2015
Santiago,Región Metropolitana,9,539,,,34,2.222.000,175,Art/Humanities,2011
Santiago,Región Metropolitana,8,548,,,33,2.000.000,40,Art/Humanities,2006
Providencia,Región Metropolitana,8,529,496,496,8,2.109.000,84,Art/Humanities,2016
Ñuñoa,Región Metropolitana,8,673,,,53,1.749.000,170,Art/Humanities,2009
Providencia,Región Metropolitana,8,500,,,4,2.280.000,35,Art/Humanities,2009
Macul,Región Metropolitana,8,707,,,61,2.240.000,308,Art/Humanities,2008
Santiago,Región Metropolitana,8,595,,,10,2.760.000,22,Art/Humanities,2012
Talca,Región del Maule,8,505,,,30,1.310.000,105,Art/Humanities,2007
Las Condes,Región Metropolitana,9,551,,,35,2.650.000,264,Art/Humanities,2006
Santiago,Región Metropolitana,5,447,,,23,760.000,60,Art/Humanities,2009
Santiago,Región Metropolitana,6,558,534,555,44,1.986.100,135,Art/Humanities,2014
Temuco,Región de La Araucanía,10,542,,,26,2.309.000,69,Art/Humanities,2011
Las Condes,Región Metropolitana,8,657,,,7,3.001.806,11,Art/Humanities,2012
Arica,Región de Arica y Parinacota,8,529,556,537,13,2.539.000,60,Art/Humanities,2018
Valparaíso,Región de Valparaíso,8,570,544,559,47,3.060.000,155,Art/Humanities,2013
Arica,Región de Arica y Parinacota,8,525,,,36,1.810.000,139,Art/Humanities,2010
Concepción,Región del Bío-Bío,10,576,,,57,1.988.600,207,Art/Humanities,2009
Macul,Región Metropolitana,10,656,657,684,50,3.640.000,379,Art/Humanities,2019
Providencia,Región Metropolitana,8,521,,,16,2.313.000,46,Art/Humanities,2010
Santiago,Región Metropolitana,9,581,523,530,29,3.465.968,101,Art/Humanities,2013
Chillán,Región de Ñuble,10,554,,,43,2.034.000,203,Art/Humanities,2010
Arica,Región de Arica y Parinacota,8,555,,,57,1.600.000,253,Art/Humanities,2008
Lo Barnechea,Región Metropolitana,10,607,,,131,3.919.000,604,Art/Humanities,2010
Temuco,Región de La Araucanía,10,556,529,543,11,3.232.000,70,Art/Humanities,2018
Santiago,Región Metropolitana,10,547,540,538,41,5.044.300,216,Art/Humanities,2019
Concepción,Región del Bío-Bío,12,605,,,87,2.420.000,350,Art/Humanities,2012
Santiago,Región Metropolitana,8,516,,,35,1.700.000,70,Art/Humanities,2006
Santiago,Región Metropolitana,11,576,,,64,3.456.000,526,Art/Humanities,2011
Santiago,Región Metropolitana,11,587,,,115,2.709.208,421,Art/Humanities,2006
Santiago,Región Metropolitana,11,546,,,107,3.548.594,544,Art/Humanities,2012
Santiago,Región Metropolitana,10,516,481,491,69,2.792.994,258,Art/Humanities,2015
Providencia,Región Metropolitana,8,690,638,666,40,3.510.000,192,Art/Humanities,2015
Ñuñoa,Región Metropolitana,10,667,645,684,81,3.003.600,438,Art/Humanities,2018
Concepción,Región del Bío-Bío,12,618,,,78,2.201.000,423,Art/Humanities,2008
Lo Barnechea,Región Metropolitana,9,571,,,8,4.174.000,90,Art/Humanities,2011
Providencia,Región Metropolitana,8,572,,,17,2.640.000,39,Art/Humanities,2012
Valparaíso,Región de Valparaíso,8,648,,,16,1.856.400,91,Art/Humanities,2012
Las Condes,Región Metropolitana,8,595,592,604,8,4.605.480,33,Art/Humanities,2017
Ñuñoa,Región Metropolitana,8,660,610,639,117,2.333.700,337,Art/Humanities,2014
Santiago,Región Metropolitana,11,596,,,95,3.029.301,454,Art/Humanities,2008
Valdivia,Región de los Ríos,12,550,,,74,2.940.000,299,Art/Humanities,2011
Ñuñoa,Región Metropolitana,8,671,,,73,2.096.800,260,Art/Humanities,2012
Providencia,Región Metropolitana,8,555,486,496,24,3.450.000,76,Art/Humanities,2019
Punta Arenas,Región de Magallanes,10,582,584,601,16,3.737.000,78,Art/Humanities,2018
Providencia,Región Metropolitana,8,698,,,41,3.200.000,208,Art/Humanities,2012
Providencia,Región Metropolitana,8,643,,,91,3.200.000,424,Art/Humanities,2012
Providencia,Región Metropolitana,8,676,,,18,3.740.000,175,Art/Humanities,2012
Santiago,Región Metropolitana,8,497,,,10,1.836.000,97,Art/Humanities,2008
Ñuñoa,Región Metropolitana,10,591,596,618,32,2.268.000,39,Art/Humanities,2013
Ñuñoa,Región Metropolitana,6,517,,,27,1.659.418,77,Art/Humanities,2012
Santiago,Región Metropolitana,10,676,,,25,2.093.700,127,Art/Humanities,2012
Providencia,Región Metropolitana,10,563,558,558,39,2.908.000,176,Art/Humanities,2016
Concepción,Región del Bío-Bío,8,556,532,541,46,2.466.000,203,Art/Humanities,2017
Valparaíso,Región de Valparaíso,8,577,,,31,2.028.000,125,Art/Humanities,2012
Viña del Mar,Región de Valparaíso,5,454,,,4,890.000,52,Art/Humanities,2006
Valparaíso,Región de Valparaíso,10,592,,,47,1.918.000,190,Art/Humanities,2012
Talcahuano,Región del Bío-Bío,6,525,516,532,21,1.780.000,67,Art/Humanities,2015
Las Condes,Región Metropolitana,8,529,508,514,16,4.334.436,83,Art/Humanities,2016
Valparaíso,Región de Valparaíso,10,625,,,62,3.100.000,292,Art/Humanities,2012
Temuco,Región de La Araucanía,12,530,,,21,2.627.349,149,Art/Humanities,2014
Las Condes,Región Metropolitana,8,625,554,559,3,3.950.231,39,Art/Humanities,2014
Providencia,Región Metropolitana,10,541,530,530,13,2.420.000,55,Art/Humanities,2017
Santiago,Región Metropolitana,10,598,,,119,3.500.000,702,Art/Humanities,2011
Valdivia,Región de los Ríos,8,546,,,24,2.434.000,114,Art/Humanities,2012
Santiago,Región Metropolitana,10,715,,,21,1.400.000,100,Art/Humanities,2006
Macul,Región Metropolitana,8,673,,,36,2.820.000,165,Art/Humanities,2012
Copiapó,Región de Atacama,10,507,,,12,1.922.000,64,Art/Humanities,2012
Providencia,Región Metropolitana,9,561,557,580,12,3.010.000,59,Art/Humanities,2014
La Serena,Región de Coquimbo,8,614,630,666,22,2.588.000,84,Art/Humanities,2018
Talca,Región del Maule,12,596,,,80,3.101.400,475,Art/Humanities,2012
Arica,Región de Arica y Parinacota,8,575,612,632,32,2.701.000,157,Art/Humanities,2019
Macul,Región Metropolitana,8,665,,,62,2.820.000,328,Art/Humanities,2012
Valparaíso,Región de Valparaíso,9,583,,,7,1.703.000,68,Art/Humanities,2011
Santiago,Región Metropolitana,6,575,570,595,35,2.263.000,125,Art/Humanities,2017
Santiago,Región Metropolitana,10,580,,,5,2.755.000,72,Art/Humanities,2011
Valparaíso,Región de Valparaíso,8,555,,,30,1.740.000,121,Art/Humanities,2010
Providencia,Región Metropolitana,8,547,,,17,2.078.000,67,Art/Humanities,2012
La Serena,Región de Coquimbo,8,555,,,19,1.190.000,86,Art/Humanities,2007
Ñuñoa,Región Metropolitana,10,656,,,61,3.277.000,249,Art/Humanities,2012
Santiago,Región Metropolitana,8,596,,,21,2.460.578,112,Art/Humanities,2007
Concepción,Región del Bío-Bío,4,590,,,40,1.282.000,93,Art/Humanities,2006
Santiago,Región Metropolitana,8,575,502,508,18,3.564.000,51,Art/Humanities,2018
Valparaíso,Región de Valparaíso,10,570,,,88,2.465.000,434,Art/Humanities,2011
Temuco,Región de La Araucanía,10,536,,,10,2.424.000,52,Art/Humanities,2012
Temuco,Región de La Araucanía,8,539,,,16,1.835.000,112,Art/Humanities,2012
Santiago,Región Metropolitana,12,673,,,203,2.528.000,1042,Art/Humanities,2009
Iquique,Región de Tarapacá,10,568,579,608,33,2.472.375,190,Art/Humanities,2016
Santiago,Región Metropolitana,10,595,,,141,3.616.000,739,Art/Humanities,2012
Santiago,Región Metropolitana,8,583,509,520,34,3.227.000,111,Art/Humanities,2015
Las Condes,Región Metropolitana,9,536,,,69,3.820.000,383,Art/Humanities,2013
Santiago,Región Metropolitana,10,600,,,20,,20,Art/Humanities,2010
Providencia,Región Metropolitana,8,702,674,712,40,3.325.000,183,Art/Humanities,2014
Valparaíso,Región de Valparaíso,10,536,,,37,1.697.000,145,Art/Humanities,2010
Providencia,Región Metropolitana,8,460,,,28,990.000,138,Art/Humanities,2011
Valparaíso,Región de Valparaíso,10,610,,,82,2.040.000,477,Art/Humanities,2007
Antofagasta,Región de Antofagasta,8,545,534,549,25,2.834.000,79,Art/Humanities,2017
Santiago,Región Metropolitana,8,479,,,2,1.700.000,57,Art/Humanities,2008
Ñuñoa,Región Metropolitana,6,578,,,24,1.086.278,97,Art/Humanities,2006
Santiago,Región Metropolitana,10,641,651,689,148,4.174.900,757,Art/Humanities,2019
Providencia,Región Metropolitana,8,532,,,22,1.807.000,158,Art/Humanities,2012
Concepción,Región del Bío-Bío,8,526,493,496,46,2.180.000,183,Art/Humanities,2014
Concepción,Región del Bío-Bío,8,552,532,542,47,2.540.000,238,Art/Humanities,2018
Santiago,Región Metropolitana,6,567,535,556,52,2.543.000,121,Art/Humanities,2019
Las Condes,Región Metropolitana,10,703,,,2,3.335.852,29,Art/Humanities,2008
Valparaíso,Región de Valparaíso,8,639,,,19,2.183.000,90,Art/Humanities,2008
Valparaíso,Región de Valparaíso,8,571,,,24,1.510.000,141,Art/Humanities,2007
Las Condes,Región Metropolitana,8,540,,,11,2.101.600,46,Art/Humanities,2006
Viña del Mar,Región de Valparaíso,12,539,520,527,60,4.090.000,286,Art/Humanities,2019
Santiago,Región Metropolitana,8,543,,,18,2.570.000,145,Art/Humanities,2012
La Serena,Región de Coquimbo,8,567,,,,1.878.000,77,Art/Humanities,2009
Valparaíso,Región de Valparaíso,10,544,,,31,1.380.000,118,Art/Humanities,2007
Antofagasta,Región de Antofagasta,8,527,508,520,8,2.390.000,35,Art/Humanities,2017
Chillán,Región de Ñuble,10,568,560,582,45,2.638.000,210,Art/Humanities,2018
Valparaíso,Región de Valparaíso,10,560,,,47,2.040.000,181,Art/Humanities,2007
Santiago,Región Metropolitana,10,654,,,132,2.528.000,608,Art/Humanities,2009
Providencia,Región Metropolitana,8,701,,,41,2.540.000,199,Art/Humanities,2008
Arica,Región de Arica y Parinacota,8,544,565,584,28,2.174.000,112,Art/Humanities,2014
Concepción,Región del Bío-Bío,10,589,,,53,2.162.000,168,Art/Humanities,2008
Santiago,Región Metropolitana,8,569,546,556,53,4.173.412,199,Art/Humanities,2016
Valparaíso,Región de Valparaíso,8,575,,,24,1.776.500,113,Art/Humanities,2009
Santiago,Región Metropolitana,8,550,,,29,2.636.364,133,Art/Humanities,2011
Santiago,Región Metropolitana,10,532,510,517,40,3.465.968,113,Art/Humanities,2013
Santiago,Región Metropolitana,10,534,,,25,3.405.801,29,Art/Humanities,2011
Santiago,Región Metropolitana,12,683,,,180,1.969.000,998,Art/Humanities,2006
Ñuñoa,Región Metropolitana,8,704,,,52,1.460.000,233,Art/Humanities,2007
Santiago,Región Metropolitana,10,600,,,146,2.831.124,660,Art/Humanities,2007
Valparaíso,Región de Valparaíso,8,543,,,18,1.476.000,97,Art/Humanities,2008
Temuco,Región de La Araucanía,12,519,568,584,58,3.453.847,217,Art/Humanities,2019
Santiago,Región Metropolitana,9,526,,,5,1.820.000,92,Art/Humanities,2008
Santiago,Región Metropolitana,8,521,,,14,1.900.000,83,Art/Humanities,2008
Valparaíso,Región de Valparaíso,9,646,573,597,36,2.999.000,119,Art/Humanities,2017
Providencia,Región Metropolitana,10,529,,,19,2.070.000,92,Art/Humanities,2011
Providencia,Región Metropolitana,8,550,534,546,28,3.020.000,87,Art/Humanities,2019
Santiago,Región Metropolitana,8,481,,,15,2.898.000,34,Art/Humanities,2012
Santiago,Región Metropolitana,10,585,568,582,153,4.889.000,664,Art/Humanities,2019
Ñuñoa,Región Metropolitana,10,660,,,70,1.400.000,490,Art/Humanities,2006
Ñuñoa,Región Metropolitana,8,701,,,62,1.880.000,256,Art/Humanities,2010
Providencia,Región Metropolitana,8,510,,,69,1.500.000,234,Art/Humanities,2007
Providencia,Región Metropolitana,12,724,,,100,4.060.000,693,Art/Humanities,2010
Concepción,Región del Bío-Bío,12,477,,,15,1.931.851,58,Art/Humanities,2006
La Serena,Región de Coquimbo,8,562,,,20,1.610.000,60,Art/Humanities,2007
La Serena,Región de Coquimbo,10,595,,,81,1.780.000,505,Art/Humanities,2007
Temuco,Región de La Araucanía,8,532,,,38,1.340.600,100,Art/Humanities,2007
Providencia,Región Metropolitana,8,712,688,716,39,4.136.000,197,Art/Humanities,2019
Valparaíso,Región de Valparaíso,10,532,,,34,1.768.000,148,Art/Humanities,2011
Rancagua,Región del Gral. B. O`Higgins,8,419,,,5,1.110.000,74,Art/Humanities,2010
Santiago,Región Metropolitana,8,588,514,523,38,2.940.000,174,Art/Humanities,2013
Providencia,Región Metropolitana,12,717,723,762,17,4.124.000,52,Art/Humanities,2019
Providencia,Región Metropolitana,10,540,,,16,2.193.000,81,Art/Humanities,2013
Concepción,Región del Bío-Bío,11,563,524,528,34,4.137.000,181,Art/Humanities,2014
Santiago,Región Metropolitana,10,675,,,46,1.911.000,231,Art/Humanities,2007
Santiago,Región Metropolitana,6,596,,,36,1.314.550,110,Art/Humanities,2007
Santiago,Región Metropolitana,10,710,710,783,44,3.427.000,200,Art/Humanities,2018
Viña del Mar,Región de Valparaíso,4,508,,,7,1.801.100,49,Art/Humanities,2006
Santiago,Región Metropolitana,11,604,,,104,2.831.124,453,Art/Humanities,2007
Santiago,Región Metropolitana,8,579,527,527,4,2.650.000,9,Art/Humanities,2013
Valparaíso,Región de Valparaíso,10,630,,,36,1.810.000,146,Art/Humanities,2007
Valparaíso,Región de Valparaíso,10,646,,,48,2.110.000,281,Art/Humanities,2007
Arica,Región de Arica y Parinacota,8,507,521,529,22,2.400.000,89,Art/Humanities,2016
Coquimbo,Región de Coquimbo,10,527,528,528,1,2.279.000,7,Art/Humanities,2018
Santiago,Región Metropolitana,10,675,,,49,1.645.750,217,Art/Humanities,2010
Concepción,Región del Bío-Bío,8,542,,,3,1.828.000,26,Art/Humanities,2012
Viña del Mar,Región de Valparaíso,8,647,,,6,2.760.750,21,Art/Humanities,2007
Santiago,Región Metropolitana,10,546,508,516,12,3.486.000,68,Art/Humanities,2017
Santiago,Región Metropolitana,10,660,,,23,1.797.000,83,Art/Humanities,2009
Coquimbo,Región de Coquimbo,10,524,509,509,2,1.908.000,20,Art/Humanities,2013
Macul,Región Metropolitana,8,670,,,66,1.945.000,322,Art/Humanities,2006
Santiago,Región Metropolitana,10,538,507,529,28,4.784.900,210,Art/Humanities,2017
Santiago,Región Metropolitana,10,542,,,40,3.332.676,72,Art/Humanities,2012
La Serena,Región de Coquimbo,8,596,586,615,27,2.053.000,104,Art/Humanities,2019
Valparaíso,Región de Valparaíso,10,546,,,25,1.370.000,73,Art/Humanities,2007
Santiago,Región Metropolitana,8,473,,,14,2.898.000,27,Art/Humanities,2011
Santiago,Región Metropolitana,10,618,,,10,1.662.600,85,Art/Humanities,2006
La Serena,Región de Coquimbo,8,574,,,20,1.416.000,74,Art/Humanities,2010
Concepción,Región del Bío-Bío,12,615,623,656,76,2.531.000,380,Art/Humanities,2014
Santiago,Región Metropolitana,10,561,,,40,4.010.465,166,Art/Humanities,2011
Puerto Montt,Región de Los Lagos,8,509,,,16,1.085.000,62,Art/Humanities,2006
Santiago,Región Metropolitana,10,588,,,67,1.758.384,358,Art/Humanities,2008
Santiago,Región Metropolitana,10,573,,,80,1.758.384,289,Art/Humanities,2008
Temuco,Región de La Araucanía,10,551,537,548,15,3.232.000,45,Art/Humanities,2018
Providencia,Región Metropolitana,8,631,,,7,2.900.000,43,Art/Humanities,2009
Copiapó,Región de Atacama,10,528,540,558,16,2.079.000,105,Art/Humanities,2015
Osorno,Región de Los Lagos,8,511,,,8,1.580.000,84,Art/Humanities,2008
Rancagua,Región del Gral. B. O`Higgins,8,419,,,5,1.070.000,49,Art/Humanities,2009
Punta Arenas,Región de Magallanes,10,565,576,591,12,3.214.000,98,Art/Humanities,2014
Arica,Región de Arica y Parinacota,8,552,570,583,22,2.174.000,151,Art/Humanities,2014
